seriesuid,coordX,coordY,coordZ,label
1.3.6.1.4.1.14519.5.2.1.6279.6001.179049373636438705059720603192,-52.25,-47.95,-322.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.179049373636438705059720603192,64.0,-72.95,-317.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.179049373636438705059720603192,54.625,-72.95,-296.875,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.179049373636438705059720603192,44.625,-67.95,-286.875,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.179049373636438705059720603192,-41.625,-72.95,-276.875,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.179049373636438705059720603192,-11.625,-52.95,-271.875,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.179049373636438705059720603192,-11.625,-77.95,-266.875,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.179049373636438705059720603192,125.25,-52.95,-246.25,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.179049373636438705059720603192,130.25,-42.325,-241.25,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.179049373636438705059720603192,110.25,-32.325,-226.25,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.179049373636438705059720603192,-107.875,-67.95,-201.25,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.179049373636438705059720603192,-6.625,8.3,-94.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.179049373636438705059720603192,-1.0,-7.325,-53.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.179049373636438705059720603192,-1.625,-17.325,-33.125,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.619372068417051974713149104919,60.125,-85.75,-312.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.619372068417051974713149104919,39.5,10.5,-164.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.619372068417051974713149104919,19.5,9.875,-149.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.619372068417051974713149104919,13.875,5.5,-129.5,0
